"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
24-126,,"February 22, 2024",,"Cascade Designs Recalls Camping Cooking Pots Due to Burn and Scald Hazards","MSR camping cooking pots","This recall involves select Cascade Designs camping cooking pots. The anodized aluminum pots are various 1- to 2-liter pots sold individually and as a part of stove systems and kits. The recalled models include Reactor, Trail Lite and PocketRocket Stove Kits. MSR is written on the side of the pots.","The pot handle can detach or become loose, posing burn and scald risks to consumers from hot food and liquids spilling from the product.",,,Replace,"About 60,655 (In addition, about 22,320 were sold in Canada and about 35 were sold in Mexico)","The company has received 22 reports of the pot handle either detaching or becoming loose, including two reports of burn injuries.","Consumers should immediately stop using the recalled camping cooking pot, and contact Cascade Designs for instructions on submitting a photo of the product to receive a free replacement pot handle/lifter. The replacement pot handle/lifter does not require tools to install.","Sold At","Outdoor equipment stores nationwide from January 2008 through October 2023 for between $40 and $290.","Cascade Designs Inc., of Seattle, Washington",,"Cascade Designs Inc., of Seattle, Washington",Thailand,,
24-117,,"February 15, 2024",,"Electrolux Group Recalls Frigidaire Rear-Controlled Ranges Due to Electrical Shock and Electrocution Hazards","Frigidaire rear-controlled ranges","This recall involves select Frigidaire brand rear-controlled ranges produced from October 2023 through November 2023 with electronic control panels and the following model and serial numbers within these ranges:&nbsp;Model NumberSerial Number RangeFCRE3052BWVF34618193 thru VF34618322FCRE305CBWVF34601466 thru VF34601608FCRG3051BBVF34508449 thru VF34508592,&nbsp;VF34521553 thru VF34521696,&nbsp;VF34521697 thru VF34521835FCRG3051BWVF34504801 thru VF34504942FCRE3062ABVF34424109 thru VF34424252FCRG3052BWVF34510705 thru VF34510818FCRE3052BBVF34414413 thru VF34414546,&nbsp;VF34600745 thru VF34600888,&nbsp;FCRE3052BSVF34413405 thru VF34413692FCRE306CASVF34410621 thru VF34410752FCRE3062ASVF34410338 thru VF34410338,&nbsp;VF34413117 thru VF34413260,&nbsp;VF34512157 thru VF34512300,&nbsp;VF34512673 thru VF34512816,&nbsp;VF34519273 thru VF34519416&nbsp;FCRG3051BSVF34316279 thru VF34316279&nbsp;Consumers should visit&nbsp;https://www.frigidaire.com/en/frigidaire-recall-information to see if their specific serial number is included in this recall. The model and serial numbers are located in the drawer beneath the oven.","The control panel (user interface) on the ranges can detach from the unit, posing electrical shock and electrocution hazards.",,,Repair,"About 1,800 (In addition, about 130 were sold in Canada)","None reported.","Consumers should immediately stop using the recalled Frigidaire rear-controlled ranges and contact Electrolux Group for a free repair/professional installation of a new control panel.&nbsp;Consumers should not use the range while awaiting the service call. Consumers should unplug the unit until repaired by an authorized servicer.","Sold At","Lowe’s and other appliance stores nationwide and online from October 2023 through December 2023 for between $790 and $1,050.",,"Electrolux Home Products, Inc. of Charlotte, North Carolina",,"United States",,
24-110,,"February 08, 2024",,"Electrolux Group Recalls Frigidaire Side by Side Refrigerators with Slim Ice Buckets Due to Choking and Laceration Hazards","Frigidaire Branded Side by Side Refrigerators with Slim Ice Buckets","This recall involves certain Frigidaire branded side by side refrigerators with Slim Ice buckets manufactured between 2015 and 2019, with model numbers DGHK2355TF, DGHX2655TF, FFSC2323TS, FGSC2335TD, FGSC2335TF, FGSS2635TD, FGSS2635TE, FGSS2635TF, FGSS2635TP, FPSC2277RF, FPSC2278UF, FPSS2677RF, LFSC2324VF, LGHK2336TD, LGHK2336TF, LGHX2636TD, and LGHX2636TF. Consumers can also visit&nbsp;https://www.frigidaire.com/en/frigidaire-recall-information to see if their specific serial number is included in this recall. The model and serial numbers are printed on a serial plate located inside the refrigerator compartment. Model numbers include:Model NumbersColor GuideDGHK2355TFDGHX2655TFFFSC2323TSFGSC2335TDFGSC2335TFFGSS2635TDFGSS2635TEFGSS2635TFFGSS2635TPFPSC2277RFFPSC2278UFFPSS2677RFLFSC2324VFLGHK2336TDLGHK2336TFLGHX2636TDLGHX2636TF&nbsp;&nbsp;The last letter of each model number denotes the various colors:F and S: Stainless SteelD: Dark Stainless SteelE: Black PaintedP: White Painted&nbsp;&nbsp;","The recalled refrigerators contain an ice bucket assembly component that can break, resulting in plastic pieces entering the ice bucket, posing choking and laceration hazards to consumers if the pieces are dispensed out of the ice bucket.",,,Repair,"About 383,240 (In addition, about 5,785 units were sold in Canada) ","Electrolux Group has received 343 reports of plastic pieces breaking off, including two incidents resulting in laceration and ingestion injuries when the pieces were dispensed out of the recalled ice bucket.","Consumers should immediately stop using the ice makers and contact Electrolux Group to request a replacement ice bucket assembly component, free of charge.","Sold At","Lowe’s, Home Depot and other stores nationwide and online at Frigidaire.com from November 2015 through September 2019 for between $1,400 and $2,400.","Electrolux Home Products Inc., of Charlotte, North Carolina",,,Mexico,,
24-069,,"December 28, 2023",,"BlendJet Recalls 4.8 Million BlendJet 2 Portable Blenders Due to Fire and Laceration Hazards","BlendJet 2 Portable Blenders","This recall involves BlendJet 2 Portable Blenders sold in a variety of colors and designs. Serial numbers are printed on the bottom of the base along with “blendjet2” and “The Original Portable Blender.” The blenders measure approximately 9.5 inches in height and 3 inches in width and weighs approximately 1.5 pounds. Units where the first 4 digits of the serial number are between 5201 and 5542, and are subject to the recall must be identified through the use of the “Is my BlendJet 2 Recalled?” tool located at&nbsp;www.blendjet.com/safetyandrecall.","The recalled blenders can overheat or catch fire and the blender blades can break off, posing fire and laceration hazards to consumers.",,,Replace,"About 4.8 million (in addition, about 117,000 were sold in Canada)","The firm has received approximately 329 reports of the blades breaking while in use, and an additional 17 reports of overheating or fires resulting in property damage claims of approximately $150,000. The firm has received about 49 reports of minor burns and one report of a laceration injury.","Consumers should immediately stop using the recalled blenders and contact BlendJet for a free replacement of the BlendJet 2 base unit. Consumers will need to remove and cut the rubber seal from the base of their recalled blender into three or more pieces and upload or email a photo showing the serial number on the bottom of the unit and its rubber seal in pieces to BlendJet at www.blendjet.com/safetyandrecall or safety@blendjet.com to receive a free replacement base. Consumers can identify whether they have a recalled unit by entering the serial number of their unit into the “Is my BlendJet 2 Recalled?” tool located at www.blendjet.com/safetyandrecall, or by emailing BlendJet Safety@BlendJet.com.","Sold At","Costco, Walmart, Target and other stores nationwide and online at BlendJet.com from October 2020 through November 2023 for between $50 and $75.",,"BlendJet Inc., of Benicia, California",,China,,
24-051,,"December 14, 2023",,"Empower Brands Recalls Power XL Dual Basket Air Fryers Due to Burn Hazard","PowerXL™ DUAF-10 and DUAF-005 Vortex Dual-Basket Air Fryers","This recall involves two models of the PowerXL dual-basket air fryer. The egg-shaped air fryers have two baskets that can be used separately or optionally combined into one large single basket.&nbsp; The recalled air fryers were sold in black or cinnamon colors. The 10-quart DUAF-10 model is about 17 inches long by 16 inches wide by 12 1/2 inches tall, and weighs about 14 1/2 pounds. The 9-quart DUAF-005 model is about 14 inches long by 13 inches wide by 15 inches tall, and weighs about 14 pounds. The product has a silver label on the front that says “PowerXL”. There is a white label on the bottom of each unit or on the unit’s power cord that lists the model number.","The plastic U-Channel connector used to optionally combine the two food baskets inside of the air fryers can break during use, posing a burn hazard.",,,Refund,"About 319,000","The firm has received 41 reports of the product breaking during use, including three reports of burns.","Consumers should immediately stop using the recalled dual basket air fryers and contact Empower Brands to receive a full refund.","Sold At","Target, Walmart, Kohls and other stores nationwide and online at www.target.com, www.walmart.com, www.kohls.com and other websites from August 2021 through October 2023 for between $60 and $190, depending on the model.","Empower Brands, LLC of Middleton, Wisconsin",,,China,,
24-033,,"November 30, 2023",,"GE Appliances, a Haier Company, Recalls Electric Cooktops Due to Burn Hazard","Knob-control electric radiant cooktops, model GE JP3030","This recall involves GE-branded JP3030 knob-controlled electric radiant cooktops manufactured from July 2022 through September 2022 with serial numbers beginning with prefixes LT, MT, RT or ST. The recalled cooktops have black or white glass cooktop surfaces and have four radiant burners with four corresponding “Hot Cooktop” lights and four burner control knobs located on the right side of the cooking surface. The following model numbers, UPC codes, and serial number prefixes are included in this recall:                Model Number     UPC Code     Serial Number or Serial Number Prefix                   JP3030DJ4BB     084691809609     LT081195Q – LT081286Q     MT-&nbsp;     RT-     ST-             JP3030SJ4SS     084691809074     LT015466Q – LT015467Q     LT048419Q – LT048420Q     LT073851Q     LT129159Q – LT129183Q     MT-     RT-     ST-             JP3030TJ4WW     084691809081     LT148064Q – LT148068Q     LT118335Q     MT-     RT-     ST-             The model number, UPC code, and serial number of the cooktops are printed on the permanent on-product label located on the bottom of the unit, close to the front left burner location.&nbsp;","The cooktop’s burners can remain on after use, even after being turned to the “off” position, due to misaligned burner knob stems and fractured burner knob components that can exist in units manufactured between July 2022 and September 2022, posing a burn hazard to consumers.",,,Repair,"About 11,000","GE Appliances has received 83 reports of incidents in which a burner failed to regulate temperature accurately and/or power off when the knob was turned to the “off” position. No injuries have been reported.","Consumers should immediately contact GE Appliances to arrange for free installation of a replacement burner knob assembly. When not in use, turn the unit off at the circuit breaker. Do not leave flammable materials or empty cookware on or near the cooktop. In the affected units, the burner can remain on following use even after being turned to the “off” position. In this case, the “On” indicator light will not be illuminated, but the “Hot Cooktop” light corresponding to the burner will remain illuminated until power to the cooktop is turned off at the breaker switch.","Sold At","Major home improvement and appliance stores nationwide, including Best Buy, Lowe’s and The Home Depot, from July 2022 through 2023 for between $1,110 and $1,220.",,"Haier US Appliance Solutions Inc., d/b/a GE Appliances, of Louisville, Kentucky",,"United States",,
24-028,,"November 21, 2023",,"ZLINE Expands Consumer Options in Recall of Gas Ranges; Serious Risk of Injury or Death from Carbon Monoxide Poisoning","ZLINE 30-inch, 36-inch and 48-inch RG gas ranges","This recall involves the oven compartment of ZLINE gas ranges with model numbers RG30, RGS-30, RGB-30, RG36, RGS-36, RGB-36, RG48, RGS-48 and RGB-48. The ranges were sold in various door colors including black matte, blue gloss, blue matte, DuraSnow, red gloss, red matte and white matte and multiple finishes including stainless steel, black stainless steel and DuraSnow, a cloudy steel finish. The recalled ranges were sold in three sizes, 30 inches, 36 inches and 48 inches. The ZLINE logo is printed on the bottom of the door. The model number is printed on a label on the back of the range. For ranges purchased after 2020, the model number is also printed on a label underneath the right side of the range top, visible when the oven door is open. Only ZLINE gas ranges with these model numbers are included in this recall.","The oven of the gas ranges can emit dangerous levels of carbon monoxide (CO) while in use, posing a serious risk of injury or death from carbon monoxide poisoning.",,,"Refund, Replace, Repair","About 30,000","Before the recall, ZLINE received 44 reports of carbon monoxide emission, including three reports of consumers seeking medical attention. After the recall was announced, ZLINE received 131 reports that the repair was not completed successfully and that the ranges were still emitting dangerous levels of carbon monoxide.","These ranges were recalled in January 2023, and consumers were offered a repair.&nbsp; ZLINE is expanding the remedies available to consumers to also include a replacement range or a refund. All consumers who have an affected range should immediately stop using the oven compartment, even if they have already had their range repaired as part of the prior recall. Consumers who have received a repair are being contacted directly by ZLINE with additional information and about the offer of an inspection, a replacement range or a refund. Consumers who have not yet scheduled a repair as part of the recall should contact ZLINE for information regarding available remedies. Consumers may continue to use the range tops which are unaffected by the issue.Consumers should review Protect Your Family from Carbon Monoxide Poisoning | CPSC.gov&nbsp;for more information about preventing carbon monoxide poisoning.","Sold At","Best Buy, Lowe’s, The Home Depot and The Range Hood Store stores nationwide and online at www.bestbuy.com, www.build.com, www.costco.com, www.homedepot.com, www.therangehoodstore.com, www.overstock.com and www.wayfair.com. The gas ranges were sold from February 2019 through December 2022 for between $2,300 and $6,900.","ZLINE Kitchen and Bath, of Reno, Nev.",,,China,,
24-013,,"October 26, 2023",,"Best Buy Recalls Insignia™ Pressure Cookers Due to Burn Hazard","Insignia pressure cookers","This recall involves Insignia Multi-Function Pressure Cookers with model numbers NS-MC60SS8, NS-MC60SS9, or NS-MC80SS9, and inner cooker pots with model numbers NS-MCRP6NS9 and NS-MCRP6SS9, sold separately as replacements. The electric pressure cookers and inner cooker pots are six- and eight-quart capacity. The brand name INSIGNIA appears on the front of each unit and on its permanent on-product label. The model number of the recalled pressure cookers is also printed on the permanent on-product label on the side of the cooker. The inner cooker pots are black with a non-stick coating and embossed markings indicating cup and liter measurements.Consumers should always check that the inner pot is not filled beyond two-thirds capacity when pressure cooking, that the lid is fully locked before pressure cooking is started, and that the floating locking valve has dropped before attempting to open the lid when pressure cooking.","The pressure cooker has incorrect volume markings on the inner pot. This can cause consumers to overfill the pot and hot food and liquids to be ejected when the pressure cooker is vented using the quick release method or opened while its contents are pressurized, posing a burn hazard to consumers.",,,Replace,"About 930,000","Best Buy has received 31 reports of incidents in which the contents were expelled under pressure, including 17 reports of burn injuries, some of which involved reports of second-degree and severe burns.","Consumers should immediately stop using the recalled pressure cookers and contact Best Buy for a free replacement of the inner pot and floating locking valve for signaling pressure.","Sold At","Best Buy stores nationwide and online at www.bestbuy.com and www.amazon.com from October 2017 through June 2023 for between $50 and $120.","Best Buy Purchasing LLC, of Richfield, Minnesota",,,China,,
24-008,,"October 12, 2023",,"Countertop Nugget Ice Makers Recalled Due to Laceration Hazard; Sold Exclusively through Amazon; Distributed by Far Success Trading","Gevi Household Countertop Nugget Ice Makers","This recall involves Gevi Household Countertop Nugget Ice Makers with model number GIMN-1102 and a date code of before June 1, 2022. The model number and date code are listed on the product label on the back of the unit. The ice makers are stainless steel and with a white, black or blue exterior top and come with an ice basket, ‎ice scooper and a 1/4'' water inlet hose. They measure about 10 inches wide and 17 inches high.","The metal blades of the auger of the ice maker can break, resulting in small pieces of metal going into the ice basket, posing a laceration hazard.",,,Replace,"About 8,800","The firm has received 263 reports of incidents of metal blades breaking off the auger and the broken blades then going into the ice basket. No injuries have been reported.","Consumers should immediately stop using the Countertop Nugget Ice Makers manufactured before June 1, 2022, and contact Far Success Trading Limited to receive a free replacement. The firm will provide instructions to disable your present ice maker, which should then be disposed of. Far Success Trading Limited is notifying all known purchasers directly. Consumers should send a photo of the product label on the back of their present ice maker to the email address or website designated above by Far Success Trading Limited.","Sold At","Online at Amazon.com from January 2022 through July 2022 for between $300 and $400.",,,"Far Success Trading Limited, of Hong Kong",China,,
23-794,,"September 28, 2023",,"Secura Recalls Air Fryers Due to Fire and Burn Hazards (Recall Alert)","Secura Air Fryers","This recall involves Secura air fryers with model number SAF-53D (TXG-DT16E) with date code 1901, and model number SAF-53 (TXG-DS16) with date codes 1903 and 1904. They are a black color with silver accent. The brand name Secura is on the top of each unit. The model number and four-digit date code are printed on the silver labels located at the bottom of each unit. The air fryers measure about 12 inches high, 11 inches deep and 12 inches wide.","A wire connection in the air fryer can overheat, posing fire and burn hazards.",,,"Refund, Replace","About 6,400 (In addition, about 680 were sold in Canada)","The firm has received nine reports of the air fryers catching fire, burning and smoking. No injuries or property damage have been reported.","Consumers should immediately stop using the recalled air fryers and contact Secura for an Amazon gift card in the amount of $45 or a free replacement at consumer’s choice with Secura products as listed on Secura’s webpage at https://www.thesecura.com/recall/. To receive the gift card or replacement product consumers must provide their contact information and submit photos of the recalled unit with the power cord cut off and include information of the product’s date code located at the bottom of the product. No receipt is needed to receive a replacement. Secura is contacting all known purchasers.","Sold At","Online at thesecura.com and Amazon.com from May 2019 through October 2020 for between $48 and $90.","Secura Inc., of Lake Forest, California",,,China,,
23-269,,"August 31, 2023",,"Electrolux Group Recalls Frigidaire Gas Cooktops Due to Risk of Gas Leak, Fire Hazard","Frigidaire Stainless-Steel 30-inch 4 Burner and 36-inch 5 Burner Gas Cooktops","This recall involves all Frigidaire Stainless-Steel 30-inch 4 Burner Gas Cooktops (model FFGC3026SS) and Frigidaire Stainless-Steel 36-inch 5 Burner Gas Cooktops (model FFGC3626SS) with control knobs with black shafts. The model number and serial number are located on a label on the underside of the unit. The cooktops have “FRIGIDAIRE” on the front, lower left corner. The following serial numbers are included in this recall:&nbsp;                Model Numbers     Serial Numbers     Serial Numbers             FFGC3026SS     1F00590006 through 1F11090155     3F53705075 through 3F01309052             FFGC3626SS     1F00590020 through 1F10390342     3F53703455 through 3F00806110             To determine whether their cooktop is included in the recall, consumers should visit www.cooktopknobrecall.com and input the model and serial number. &nbsp;","Plastic control knobs with a black shaft on the cooktop can crack or break during use, posing a risk of gas leak, fire hazard.",,,Replace,"About 77,000","Electrolux has received 63 reports of the control knobs cracking or breaking, including one minor injury from a gas leak and one report of fire.","Consumers should immediately stop using the recalled cooktops, check for plastic control knobs with a black shaft and contact Electrolux Group for a free set of replacement knobs. Consumers can continue to use knobs with a chrome-colored shaft. &nbsp;The firm is contacting known purchasers directly.","Sold At","Lowe’s, The Home Depot, and other independent appliance stores nationwide from March 2016 through April 2022 for about $1,000.","Electrolux Home Products Inc., of Charlotte, North Carolina","Electrolux Home Products Inc., of Charlotte, North Carolina",,"China and Thailand",,
23-256,,"August 10, 2023",,"Sensio Recalls Bella, Bella Pro Series, Cooks and Crux Electric and Stovetop Pressure Cookers Due to Burn Hazard","Electric and stovetop pressure cookers","This recall involves Bella, Bella Pro Series, Crux, and Cooks electric pressure cookers, and Bella stovetop pressure cookers. The stainless-steel electric pressure cookers are six-, eight-, and 10-quart capacity. The stovetop pressure cookers are five-, eight-, and 12-quart capacity. &nbsp;The item or model number of the recalled pressure cookers is printed on the permanent on-product label or imprinted stamp on the bottom of the cookers. The item or model numbers of the recalled pressure cookers are:&nbsp;                Brand     Electric Pressure Cooker Item No.     Size     Stovetop Pressure Cooker Model No.     Size             Bella     14467     6-Qt     JY-PC20US-5P&nbsp;     5-Qt             &nbsp;     14570     6-Qt     JYPC24US-8P     8-Qt             &nbsp;     14595     8-Qt     JY-PC26US-11P     12-Qt             &nbsp;     14682     8-Qt     &nbsp;     &nbsp;             &nbsp;     14710     6-Qt     &nbsp;     &nbsp;             &nbsp;     14718     8-Qt     &nbsp;     &nbsp;             &nbsp;     14719     6-Qt     &nbsp;     &nbsp;             &nbsp;     14780     10-Qt     &nbsp;     &nbsp;             Bella Pro Series     90072&nbsp; &nbsp; &nbsp;     6-Qt     &nbsp;     &nbsp;             &nbsp;     90073     8-Qt     &nbsp;     &nbsp;             Crux     14721     8-Qt     &nbsp;     &nbsp;             Cooks     22276     6-Qt     &nbsp;     &nbsp;             &nbsp;","The pressure cooker’s lid can unlock and be removed during use, causing the hot contents to unexpectedly splash out, posing a burn hazard to consumers.",,,Refund,"About 860,000","Sensio has received 63 reports of incidents, including 61 burn injuries, some of which involved second and third degree burns to the face, torso, arms, and hands.","Consumers should immediately stop using the recalled pressure cookers and contact Sensio for a refund.","Sold At","JCPenney, Kohl’s, Lowe’s, Macy’s and Target stores nationwide, and online at Amazon.com and other websites from September 2015 through September 2020 for between $30 and $70 for the electric pressure cookers and for between $8 and $18 for the stovetop pressure cookers.","Sensio Inc., of New York",,,China,,
